AURIX TC26x B-Step, 2.5MB FLASH, 2 cores, HSM: no, EMEM: yes, CPU speed: 200.000000MHz
CoreId,CoreArch,PCache[KB],DCache[KB],PSPR[KB],DSPR[KB],LADDR
CPU0    1.6E    8       0       16      72      7
C_MODE,DCACHE,PCACHE,DSECS,DSEC,VECMATH,WORDS,EXEC,CLK,VAR_CLK[ticks],IST,VAR_IST,MCNT1,VAR_MCNT1,MCNT2,VAR_MCNT2,MCNT3,VAR_MCNT3
0,0,0,af000000,DFlash,VecWave,256,30,38764.76,593.45,9320.27,189.34,6909.40, 31.61,773.33,  8.50,  0.00,  0.00
0,0,0,af000000,DFlash,VecWave,512,30,77355.44,747.07,18603.23,237.24,13801.67, 40.91,1544.40, 10.73,  0.00,  0.00
0,0,0,af000000,DFlash,VecWave,1024,30,153871.00,685.24,37006.10,219.71,27430.00, 36.78,3079.10,  9.83,  0.00,  0.00
0,0,0,af000000,DFlash,VecWave,2048,30,306288.50,714.39,73871.39,227.00,54364.40, 38.90,6151.20, 10.43,  0.00,  0.00
0,0,0,af000000,DFlash,VecWave,4096,30,612209.60,1149.39,147599.40,366.62,108780.40, 61.87,12295.20, 16.65,  0.00,  0.00
1,0,0,af000000,DFlash,VecWave,256,30,38763.40,589.97,9320.33,189.51,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecWave,512,30,77322.27,731.11,18593.97,234.87,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecWave,1024,30,153865.00,674.91,37004.11,216.25,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecWave,2048,30,306284.00,704.05,73869.36,222.73,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1,0,0,af000000,DFlash,VecWave,4096,30,612204.70,1145.64,147597.40,363.79,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,256,30,38764.93,593.89,9320.27,189.34,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,512,30,77367.50,762.25,18609.30,244.36,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,1024,30,153874.80,692.72,37007.39,222.21,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,2048,30,306283.30,702.75,73869.43,222.86,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2,0,0,af000000,DFlash,VecWave,4096,30,612203.50,1141.26,147597.40,364.07,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3,0,0,af000000,DFlash,VecWave,256,30,38765.04,594.13,9320.27,189.34,790.60, 39.77,13021.77,269.66,14586.40, 72.45
3,0,0,af000000,DFlash,VecWave,512,30,77355.43,747.08,18603.23,237.24,1573.33, 50.50,25920.04,340.68,29179.93, 89.66
3,0,0,af000000,DFlash,VecWave,1024,30,153875.70,693.76,37007.39,222.21,3102.93, 46.62,51479.14,315.74,58163.37, 83.48
3,0,0,af000000,DFlash,VecWave,2048,30,306320.30,772.36,73880.59,245.01,6177.43, 53.10,102564.50,350.26,115348.80, 92.98
3,0,0,af000000,DFlash,VecWave,4096,30,612246.40,1220.76,147609.90,384.83,12321.63, 82.15,204840.40,559.16,230805.50,146.44
0,0,0,af000000,DFlash,VecGain,256,30,19693.93,311.98,2864.57, 99.98,  3.83, 15.26,514.83,  4.49,  0.00,  0.00
0,0,0,af000000,DFlash,VecGain,512,30,39323.27,589.62,5736.33,189.51, 12.33, 28.89,1029.33,  8.50,  0.00,  0.00
0,0,0,af000000,DFlash,VecGain,1024,30,78398.66,702.66,11419.33,225.39, 20.43, 34.79,2055.67, 10.06,  0.00,  0.00
0,0,0,af000000,DFlash,VecGain,2048,30,156177.50,679.05,22669.43,218.50, 18.07, 33.51,4103.07,  9.77,  0.00,  0.00
